"Nom de la borne de recharge","Nom du parc","Adresse","Rue","Suite","Ville","Province","Code Postal","Région","Niveau de recharge","Latitude","Longitude","Coût","Mode de tarification","Type d’emplacement","Puissance (kW)"
"CEA-10292","8003 | BSR | SO | 1825 Notre-Dame O","1825 rue Notre-Dame O Montréal QC H3J 2Y4","1825 rue Notre-Dame O","","Montréal","QC","H3J 2Y4","Montréal","Niveau 2",45.487874,-73.569212,1,"par heure","sur rue",7.2
"CEA-10297","8004 | BSR | SO | 1105 de la Sucrerie","1105 Rue de la Sucrerie Montréal QC H3K 3E7","1105 Rue de la Sucrerie","","Montréal","QC","H3K 3E7","Montréal","Niveau 2",45.483595,-73.560208,1,"par heure","sur rue",7.2
"CEA-10287","8004 | BSR | SO | 1105 de la Sucrerie","1105 Rue de la Sucrerie Montréal QC H3K 3E7","1105 Rue de la Sucrerie","","Montréal","QC","H3K 3E7","Montréal","Niveau 2",45.483595,-73.560208,1,"par heure","sur rue",7.2
"CEA-10333","8005 | BSR | SO | 1010 rue Charlevoix","1010 rue Charlevoix Montréal QC H3K 3G8","1010 rue Charlevoix","","Montréal","QC","H3K 3G8","Montréal","Niveau 2",45.477045,-73.566929,1,"par heure","sur rue",7.2
"CEA-10338","8005 | BSR | SO | 1010 rue Charlevoix","1010 rue Charlevoix Montréal QC H3K 3G8","1010 rue Charlevoix","","Montréal","QC","H3K 3G8","Montréal","Niveau 2",45.477045,-73.566929,1,"par heure","sur rue",7.2
"CEA-10295","8006 | BSR | SO | 550 Avenue Atwater","550 Avenue Atwater Montréal QC H4C 2G6","550 Avenue Atwater",,"Montréal","QC","H4C 2G6","Montréal","Niveau 2",45.48178,-73.578613,1,"par heure","sur rue",7.2
"CEA-10303","8006 | BSR | SO | 550 Avenue Atwater","550 Avenue Atwater Montréal QC H4C 2G6","550 Avenue Atwater",,"Montréal","QC","H4C 2G6","Montréal","Niveau 2",45.48178,-73.578613,1,"par heure","sur rue",7.2
"CEA-10331","8007 | BSR | SO | 2385 du Parc Garneau","2385 Rue du Parc Garneau Montréal QC H4E 2C2","2385 Rue du Parc Garneau",,"Montréal","QC","H4E 2C2","Montréal","Niveau 2",45.455853,-73.594737,1,"par heure","sur rue",7.2
"CEA-10337","8007 | BSR | SO | 2385 du Parc Garneau","2385 Rue du Parc Garneau Montréal QC H4E 2C2","2385 Rue du Parc Garneau",,"Montréal","QC","H4E 2C2","Montréal","Niveau 2",45.455853,-73.594737,1,"par heure","sur rue",7.2
"CEA-10637","8008 | BSR | SO | 6098 Mazarin","6098 Rue Mazarin Montréal QC H4E 2X2","6098 Rue Mazarin","","Montréal","QC","H4E 2X2","Montréal","Niveau 2",45.456132,-73.601308,1,"par heure","sur rue",7.2
"CEA-10639","8008 | BSR | SO | 6098 Mazarin","6098 Rue Mazarin Montréal QC H4E 2X2","6098 Rue Mazarin","","Montréal","QC","H4E 2X2","Montréal","Niveau 2",45.456132,-73.601308,1,"par heure","sur rue",7.2
"CEA-10828","8009 | BSR | SO | 5505A Angers","5505A rue Angers Montréal QC H4E 1G5","5505A rue Angers","","Montréal","QC","H4E 1G5","Montréal","Niveau 2",45.462917,-73.584786,1,"par heure","sur rue",7.2
"CEA-10821","8009 | BSR | SO | 5505A Angers","5505A rue Angers Montréal QC H4E 1G5","5505A rue Angers","","Montréal","QC","H4E 1G5","Montréal","Niveau 2",45.462917,-73.584786,1,"par heure","sur rue",7.2
"CEA-10829","8011 | BSR | SO | 123 Courcelle","123 Courcelle Montréal QC H4C 3B4","123 Courcelle","","Montréal","QC","H4C 3B4","Montréal","Niveau 2",45.471297,-73.585517,1,"par heure","sur rue",7.2
"CEA-10757","8011 | BSR | SO | 123 Courcelle","123 Courcelle Montréal QC H4C 3B4","123 Courcelle","","Montréal","QC","H4C 3B4","Montréal","Niveau 2",45.471297,-73.585517,1,"par heure","sur rue",7.2
"CEA-10648","8012 | BSR | SO | 2441 Notre-Dame","2441A Notre-Dame Montréal QC H3J 1N6","2441A Notre-Dame","","Montréal","QC","H3J 1N6","Montréal","Niveau 2",45.483512,-73.574681,1,"par heure","sur rue",7.2
"CEA-10929","8012 | BSR | SO | 2441 Notre-Dame","2441A Notre-Dame Montréal QC H3J 1N6","2441A Notre-Dame","","Montréal","QC","H3J 1N6","Montréal","Niveau 2",45.483512,-73.574681,1,"par heure","sur rue",7.2
"CEA-10733","8013 | BSR | SO | 355 Ash","355 Avenue Ash Montréal QC H3K 2R2","355 Avenue Ash","","Montréal","QC","H3K 2R2","Montréal","Niveau 2",45.478472,-73.553093,1,"par heure","sur rue",7.2
"CEA-10564","8013 | BSR | SO | 355 Ash","355 Avenue Ash Montréal QC H3K 2R2","355 Avenue Ash","","Montréal","QC","H3K 2R2","Montréal","Niveau 2",45.478472,-73.553093,1,"par heure","sur rue",7.2
"CEA-10734","8014 | BSR | SO | 2415 Allard","2415 Allard Montréal QC H4E 2L5","2415 Allard","","Montréal","QC","H4E 2L5","Montréal","Niveau 2",45.450914,-73.594951,1,"par heure","sur rue",7.2
"CEA-10822","8014 | BSR | SO | 2415 Allard","2415 Allard Montréal QC H4E 2L5","2415 Allard","","Montréal","QC","H4E 2L5","Montréal","Niveau 2",45.450914,-73.594951,1,"par heure","sur rue",7.2
"CEA-10535","8015 | BSR | SO | 2523 Grand Trunk","2523A Grand Trunk Montréal QC H3K 1M9","2523A Grand Trunk","","Montréal","QC","H3K 1M9","Montréal","Niveau 2",45.477645,-73.567529,1,"par heure","sur rue",7.2
"CEA-10602","8015 | BSR | SO | 2523 Grand Trunk","2523A Grand Trunk Montréal QC H3K 1M9","2523A Grand Trunk","","Montréal","QC","H3K 1M9","Montréal","Niveau 2",45.477645,-73.567529,1,"par heure","sur rue",7.2
"CEA-10614","8016 | BSR | SO | 1660 Centre","1660A Centre Montréal QC H3K 1G4","1660A Centre","","Montréal","QC","H3K 1G4","Montréal","Niveau 2",45.484356,-73.559822,1,"par heure","sur rue",7.2
