NOM_EVENEMENT,DATE,VILLE
DAN BIGRAS,2022-05-07T00:00:00.000-04:00,Jonquière
PHILIPPE LAPRISE - POURQUOI PAS,2022-05-13T00:00:00.000-04:00,Chicoutimi
NICOLAS GÉMUS,2022-05-13T00:00:00.000-04:00,Jonquière
LE THÉÂTRE LA RUBRIQUE PRÉSENTE LE PROBLÈME AVEC LE ROSE,2022-05-14T00:00:00.000-04:00,Jonquière
DROGUE,2022-05-14T00:00:00.000-04:00,Jonquière
LA TOURNÉE DU GAGNANT DE STAR ACADÉMIE,2022-05-19T00:00:00.000-04:00,Alma
LA TOURNÉE DU GAGNANT DE STAR ACADÉMIE,2022-05-21T00:00:00.000-04:00,Jonquière
LOUISE BESSETTE,2022-05-22T00:00:00.000-04:00,Alma
ROXANE BRUNEAU,2022-06-02T00:00:00.000-04:00,Alma
ROXANE BRUNEAU,2022-06-03T00:00:00.000-04:00,Chicoutimi
ROXANE BRUNEAU,2022-06-03T00:00:00.000-04:00,Chicoutimi
TIRE LE COYOTE,2022-06-04T00:00:00.000-04:00,Alma
CLAUDE DUBOIS,2022-06-04T00:00:00.000-04:00,Chicoutimi
ROXANE BRUNEAU,2022-06-05T00:00:00.000-04:00,Roberval
